Customer_Gender,M,,,,,,
,,,,,,,
Row Labels,Sum of Revenue,Sum of Cost,Sum of Profit,,,,
Australia,"$10,441,513.0","$7,108,374","$3,333,139",,,,
Canada,"$4,271,757.0","$2,228,143","$2,043,614",,,,
France,"$4,418,191.0","$2,927,449","$1,490,742",,,,
Germany,"$4,255,766.0","$2,664,008","$1,591,758",,,,
United Kingdom,"$5,359,889.0","$3,155,443","$2,204,446",,,,
United States,"$14,588,293.0","$8,764,760","$5,823,533",,,,
Grand Total,"$43,335,409.0","$26,848,177","$16,487,232",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
